emoji|||representation|||concept|||python|||javascript|||rust|||go|||java|||cpp|||csharp|||swift|||kotlin|||latex
# ==========================================
# SECTION 1 : Scripts & Control Flow (Expanded)
# ==========================================
🖨️|||print|||Print / Output|||print([1])|||console.log([1])|||println!("{}", [1])|||fmt.Println([1])|||System.out.println([1])|||std::cout << [1] << std::endl;|||Console.WriteLine([1])|||print([1])|||println([1])|||\text{print}([1])
📦|||let|||Variable Declaration|||[1] = [2]|||let [1] = [2]|||let [1] = [2]|||[1] := [2]|||auto [1] = [2]|||auto [1] = [2]|||var [1] = [2]|||var [1] = [2]|||val [1] = [2]|||[1] = [2]
📋|||array|||Array / List Creation|||[[1]]|||[[1]]|||vec![[1]]|||[]any{[1]}|||new ArrayList<>(List.of([1]))|||std::vector{[1]}|||new[] {[1]}|||[[1]]|||arrayListOf([1])|||\{[1]\}
❓|||if|||If Condition|||if [1]:|||if ([1]) {|||if [1] {|||if [1] {|||if ([1]) {|||if ([1]) {|||if ([1]) {|||if [1] {|||if ([1]) {|||\text{if } [1]
❔|||elif|||Else If Condition|||elif [1]:|||} else if ([1]) {|||} else if [1] {|||} else if [1] {|||} else if ([1]) {|||} else if ([1]) {|||} else if ([1]) {|||} else if [1] {|||} else if ([1]) {|||\text{else if } [1]
❗|||else|||Else Condition|||else:|||} else {|||} else {|||} else {|||} else {|||} else {|||} else {|||} else {|||} else {|||\text{else}
🔁|||for|||For Loop|||for [1] in [2]:|||for (let [1] of [2]) {|||for [1] in [2] {|||for [1] := range [2] {|||for (var [1] : [2]) {|||for (const auto& [1] : [2]) {|||foreach (var [1] in [2]) {|||for [1] in [2] {|||for ([1] in [2]) {|||\forall [1] \in [2]
🔄|||while|||While Loop|||while [1]:|||while ([1]) {|||while [1] {|||for [1] {|||while ([1]) {|||while ([1]) {|||while ([1]) {|||while [1] {|||while ([1]) {|||\text{while } [1]
🛠️|||def|||Function Declaration|||def [1]([2]):|||function [1]([2]) {|||fn [1]([2]) {|||func [1]([2]) {|||void [1]([2]) {|||void [1]([2]) {|||void [1]([2]) {|||func [1]([2]) {|||fun [1]([2]) {|||\text{function } [1]([2])
↩️|||return|||Return Value|||return [1]|||return [1]|||return [1]|||return [1]|||return [1]|||return [1]|||return [1]|||return [1]|||return [1]|||\text{return } [1]
🤝|||and|||Logical AND|||[1] and [2]|||[1] && [2]|||[1] && [2]|||[1] && [2]|||[1] && [2]|||[1] && [2]|||[1] && [2]|||[1] && [2]|||[1] && [2]|||[1] \land [2]
🔀|||or|||Logical OR|||[1] or [2]|||[1] || [2]|||[1] || [2]|||[1] || [2]|||[1] || [2]|||[1] || [2]|||[1] || [2]|||[1] || [2]|||[1] || [2]|||[1] \lor [2]
🚫|||not|||Logical NOT|||not [1]|||![1]|||![1]|||![1]|||![1]|||![1]|||![1]|||![1]|||![1]|||\neg [1]
⚖️|||eq|||Equality Comparison|||[1] == [2]|||[1] === [2]|||[1] == [2]|||[1] == [2]|||[1] == [2]|||[1] == [2]|||[1] == [2]|||[1] == [2]|||[1] == [2]|||[1] = [2]
≠|||neq|||Inequality Comparison|||[1] != [2]|||[1] !== [2]|||[1] != [2]|||[1] != [2]|||[1] != [2]|||[1] != [2]|||[1] != [2]|||[1] != [2]|||[1] != [2]|||[1] \neq [2]
✅|||true|||Boolean True|||True|||true|||true|||true|||true|||true|||true|||true|||true|||\text{true}
❌|||false|||Boolean False|||False|||false|||false|||false|||false|||false|||false|||false|||false|||\text{false}
∅|||null|||Null / Empty Value|||None|||null|||None|||nil|||null|||nullptr|||null|||nil|||null|||\emptyset

# ==========================================
# SECTION 5 : Strings & Collections
# ==========================================
🪢|||concat|||String Concatenation|||[1] + [2]|||[1] + [2]|||format!("{}{}", [1], [2])|||[1] + [2]|||[1] + [2]|||[1] + [2]|||[1] + [2]|||[1] + [2]|||[1] + [2]|||[1] \text{ + } [2]
